iter	RMSE
0	20.94097608
1	19.44802624
2	18.13371676
3	16.96949348
4	15.92506554
5	14.99309192
6	14.16356362
7	13.44021174
8	12.78939672
9	12.2305771
10	11.74278167
11	11.2923186
12	10.91393113
13	10.57428931
14	10.28898529
15	10.04169788
16	9.80874521
17	9.606882559
18	9.404827718
19	9.242588543
20	9.094300797
21	8.966040804
22	8.830500582
23	8.694559369
24	8.600047442
25	8.52045647
26	8.434300519
27	8.3629631
28	8.299050738
29	8.233583843
30	8.171565113
31	8.105899246
32	8.065847702
33	8.020889078
34	7.944091398
35	7.904888333
36	7.868481725
37	7.83793955
38	7.780244741
39	7.753030567
40	7.710029893
41	7.686337002
42	7.665348808
43	7.636475124
44	7.583386841
45	7.562194924
46	7.536104859
47	7.516907114
48	7.498356062
49	7.483231367
50	7.467056056
51	7.441687282
52	7.383415599
53	7.357259198
54	7.337259105
55	7.325418997
56	7.311737605
57	7.28114697
58	7.267748289
59	7.254122139
60	7.239452704
61	7.229337111
62	7.210546372
63	7.195665454
64	7.186848703
65	7.163478148
66	7.157241118
67	7.15150283
68	7.144928942
69	7.136382337
70	7.117453217
71	7.095787708
72	7.087374269
73	7.074109213
74	7.062232373
75	7.053046036
76	7.027278296
77	7.014167707
78	7.002424701
79	6.980924733
80	6.971530219
81	6.965383576
82	6.947520826
83	6.926946568
84	6.905712633
85	6.899957248
86	6.886010072
87	6.879981573
88	6.869061133
89	6.861922607
90	6.856372845
91	6.848599588
92	6.839854103
93	6.833704864
94	6.821307677
95	6.812397409
96	6.807197796
97	6.802910981
98	6.797219054
99	6.791538276
100	6.776115433
101	6.77090278
102	6.761920413
103	6.757216759
104	6.752877767
105	6.744102691
106	6.737119888
107	6.730443968
108	6.726412065
109	6.723344675
110	6.717382393
111	6.70436273
112	6.700977081
113	6.693919063
114	6.692101309
115	6.683389075
116	6.670795571
117	6.66552515
118	6.662816929
119	6.660607449
120	6.651326451
121	6.641847587
122	6.636045048
123	6.629370512
124	6.614159443
125	6.607770606
126	6.599849712
127	6.594353197
128	6.588516629
129	6.580479073
130	6.577582077
131	6.573094318
132	6.550888523
133	6.543571334
134	6.540535067
135	6.527349067
136	6.525495638
137	6.518060415
138	6.512959144
139	6.500894293
140	6.495381278
141	6.478176243
142	6.473991018
143	6.465345498
144	6.461031385
145	6.454439908
146	6.445868949
147	6.442489022
148	6.438556964
149	6.433470912
150	6.426186037
151	6.416959967
152	6.413961275
153	6.411041411
154	6.402602017
155	6.400398335
156	6.396947694
157	6.39178455
158	6.388593775
159	6.383758826
160	6.375079923
161	6.373156079
162	6.370827292
163	6.369087266
164	6.358425546
165	6.355915498
166	6.351922515
167	6.348316859
168	6.343876151
169	6.342346736
170	6.33584523
171	6.330328849
172	6.326279608
173	6.323628627
174	6.318404332
175	6.311825753
176	6.309213996
177	6.29837875
178	6.291642168
179	6.287051728
180	6.279674646
181	6.278308643
182	6.275472809
183	6.269268936
184	6.265091913
185	6.262770791
186	6.261839303
187	6.257131477
188	6.248026807
189	6.246368365
190	6.242717468
191	6.24053021
192	6.238905832
193	6.236336826
194	6.234274893
195	6.22206737
196	6.220120544
197	6.21505285
198	6.211717891
199	6.204320128
200	6.200126625
201	6.198333695
202	6.197535574
203	6.19397944
204	6.190493133
205	6.188317759
206	6.183558051
207	6.182806234
208	6.18209579
209	6.176216161
210	6.174313698
211	6.172469789
212	6.171803767
213	6.164954803
214	6.162748536
215	6.159189261
216	6.1585582
217	6.15569678
218	6.152694534
219	6.147224861
220	6.143105657
221	6.137786074
222	6.134202003
223	6.130487088
224	6.126543371
225	6.121556538
226	6.120066169
227	6.11746913
228	6.115730988
229	6.112734709
230	6.111102841
231	6.10991468
232	6.107994362
233	6.106431516
234	6.099293308
235	6.096902378
236	6.093519629
237	6.092012497
238	6.089312135
239	6.085754616
240	6.081576387
241	6.079236743
242	6.074825038
243	6.072846073
244	6.071300588
245	6.070617387
246	6.068836556
247	6.06733909
248	6.063169543
249	6.061519879
250	6.060539655
251	6.059244211
252	6.057690446
253	6.054024006
254	6.053389927
255	6.051974666
256	6.050380724
257	6.049129292
258	6.047156307
259	6.043109341
260	6.041348516
261	6.038442693
262	6.036167223
263	6.030878331
264	6.029317755
265	6.028722313
266	6.024288887
267	6.023728434
268	6.022370886
269	6.019702599
270	6.017036482
271	6.016508732
272	6.01526075
273	6.011851669
274	6.010804835
275	6.008680223
276	6.004900867
277	6.001560625
278	5.999979
279	5.995614686
280	5.991955672
281	5.990461783
282	5.988353185
283	5.982955769
284	5.981431903
285	5.979797082
286	5.978698657
287	5.976249777
288	5.974568397
289	5.972043213
290	5.969286787
291	5.968136748
292	5.966684921
293	5.963446476
294	5.959826292
295	5.95749592
296	5.956630132
297	5.953609364
298	5.951464774
299	5.9494637
300	5.947332062
301	5.944339022
302	5.943055912
303	5.941538425
304	5.941033587
305	5.938799433
306	5.937716169
307	5.934475555
308	5.933339962
309	5.931628326
310	5.929643681
311	5.926850811
312	5.924468287
313	5.923130498
314	5.921680476
315	5.91992786
316	5.918994519
317	5.91820325
318	5.916627213
319	5.915587159
320	5.914841033
321	5.913615725
322	5.912151669
323	5.909839659
324	5.907351917
325	5.905303459
326	5.902522844
327	5.900286567
328	5.897790025
329	5.896987206
330	5.894586554
331	5.891964292
332	5.890665567
333	5.888239805
334	5.886519248
335	5.884914245
336	5.883708442
337	5.881385884
338	5.879864676
339	5.876961101
340	5.876506605
341	5.875673701
342	5.874904276
343	5.873206248
344	5.871713792
345	5.87000931
346	5.867386142
347	5.866068766
348	5.864108824
349	5.862367879
350	5.860376679
351	5.858443196
352	5.857211823
353	5.856152001
354	5.854704528
355	5.854017073
356	5.848839673
357	5.847794717
358	5.847456337
359	5.846754883
360	5.845729433
361	5.843436169
362	5.842404556
363	5.841254662
364	5.839106924
365	5.837938008
366	5.8364724
367	5.834352658
368	5.832856803
369	5.830336816
370	5.82767215
371	5.827184997
372	5.82531401
373	5.822985893
374	5.821603149
375	5.820150423
376	5.817211528
377	5.816329612
378	5.815248688
379	5.813642681
380	5.811765339
381	5.810589435
382	5.80941079
383	5.806231045
384	5.805660983
385	5.804674165
386	5.803756257
387	5.803007181
388	5.802030216
389	5.801571522
390	5.801197112
391	5.800672039
392	5.799401636
393	5.797196724
394	5.794565824
395	5.792960978
396	5.79188531
397	5.791487075
398	5.790253971
399	5.788268456
400	5.78758658
401	5.786800919
402	5.785633677
403	5.784708639
404	5.78421328
405	5.7832309
406	5.782512031
407	5.778501057
408	5.777308872
409	5.776052209
410	5.775071137
411	5.772337224
412	5.771355637
413	5.769744438
414	5.767989935
415	5.766158779
416	5.76580277
417	5.764695984
418	5.763949213
419	5.762332165
420	5.761193718
421	5.760138078
422	5.759304008
423	5.757928949
424	5.756260009
425	5.755545284
426	5.753914651
427	5.751979579
428	5.750227539
429	5.749658945
430	5.748169078
431	5.747528492
432	5.745928415
433	5.745160298
434	5.743814617
435	5.74284597
436	5.741161182
437	5.740585622
438	5.738127
439	5.737535598
440	5.734999225
441	5.733890132
442	5.732527977
443	5.730599074
444	5.729202153
445	5.728064124
446	5.727630726
447	5.726139836
448	5.724975812
449	5.724182824
450	5.722888186
451	5.720106746
452	5.719631207
453	5.718820245
454	5.717932669
455	5.717343221
456	5.715790823
457	5.715279138
458	5.713918983
459	5.713459644
460	5.711618567
461	5.709733628
462	5.708895342
463	5.706061337
464	5.704412017
465	5.704012725
466	5.703631986
467	5.702518426
468	5.700650119
469	5.698902884
470	5.697040376
471	5.696445762
472	5.695928908
473	5.695219207
474	5.693968002
475	5.693284144
476	5.689016156
477	5.687934431
478	5.687037869
479	5.686555503
480	5.685970961
481	5.685723535
482	5.685028267
483	5.683667154
484	5.683351197
485	5.682261305
486	5.681277493
487	5.679405267
488	5.678718885
489	5.677912314
490	5.676906849
491	5.674472581
492	5.673591861
493	5.672511177
494	5.669482016
495	5.668558468
496	5.66766912
497	5.667085419
498	5.666153416
499	5.66510327
500	5.663193703
501	5.660252759
502	5.65950565
503	5.658255223
504	5.653735877
505	5.652432346
506	5.651669164
507	5.649926132
508	5.649383545
509	5.648230546
510	5.6473351
511	5.645902226
512	5.645646007
513	5.644451322
514	5.643039667
515	5.641867091
516	5.641164454
517	5.640257179
518	5.638147687
519	5.637836073
520	5.636151357
521	5.635236764
522	5.634364438
523	5.633900881
524	5.63349537
525	5.632744509
526	5.631639137
527	5.629841516
528	5.626839325
529	5.625255607
530	5.625151883
531	5.624469635
532	5.623120986
533	5.622066076
534	5.621593081
535	5.62045903
536	5.61911448
537	5.618582621
538	5.617558627
539	5.61433464
540	5.613595201
541	5.612407262
542	5.611474188
543	5.610432081
544	5.609155431
545	5.608261645
546	5.607399028
547	5.607226052
548	5.606788495
549	5.605986723
550	5.605459672
551	5.604810431
552	5.603342949
553	5.600000666
554	5.599149864
555	5.598366609
556	5.598094193
557	5.59717846
558	5.595595098
559	5.594084656
560	5.593383061
561	5.592778337
562	5.591936654
563	5.590839463
564	5.58957551
565	5.588288223
566	5.587615235
567	5.58658584
568	5.58647851
569	5.585792417
570	5.58335733
571	5.583115434
572	5.58249348
573	5.581831628
574	5.58038994
575	5.579804665
576	5.579006519
577	5.57755276
578	5.576687875
579	5.576038542
580	5.572562319
581	5.572308937
582	5.571298858
583	5.570847774
584	5.569340813
585	5.568787678
586	5.567808664
587	5.566769614
588	5.565983338
589	5.565665309
590	5.563982073
591	5.563753818
592	5.563294798
593	5.562055291
594	5.560797414
595	5.560156598
596	5.559712383
597	5.559480565
598	5.55868637
599	5.557874244
600	5.557092234
601	5.555694331
602	5.554827314
603	5.553689613
604	5.553377209
605	5.55282894
606	5.552212857
607	5.551859544
608	5.550546363
609	5.549263993
610	5.549138384
611	5.546926066
612	5.546281239
613	5.546063389
614	5.545516529
615	5.544426956
616	5.543589418
617	5.54278799
618	5.541650788
619	5.540695841
620	5.53983939
621	5.538552995
622	5.535086636
623	5.53477403
624	5.534237601
625	5.533532341
626	5.532407313
627	5.531990763
628	5.530958776
629	5.530162779
630	5.529647903
631	5.528260019
632	5.52707469
633	5.526592218
634	5.525674363
635	5.524935826
636	5.524165122
637	5.52308143
638	5.521405676
639	5.521293218
640	5.520872532
641	5.520519329
642	5.519514663
643	5.517918016
644	5.51758429
645	5.516443245
646	5.515973328
647	5.515263314
648	5.514854485
649	5.514394422
650	5.513303516
651	5.51280246
652	5.511668413
653	5.510280604
654	5.509992823
655	5.509538062
656	5.508915422
657	5.508413789
658	5.50816471
659	5.507661091
660	5.505912651
661	5.505183888
662	5.50412241
663	5.503308784
664	5.502048532
665	5.501674856
666	5.500885396
667	5.499974103
668	5.499265721
669	5.498338951
670	5.49815565
671	5.497382742
672	5.496823663
673	5.494830623
674	5.494501815
675	5.494111704
676	5.493190742
677	5.492164823
678	5.489918919
679	5.48898133
680	5.488201691
681	5.487659144
682	5.487474449
683	5.486626928
684	5.485296886
685	5.485084053
686	5.483827357
687	5.482217477
688	5.480947186
689	5.480243197
690	5.479498384
691	5.478596081
692	5.477850115
693	5.477681294
694	5.47645461
695	5.476132828
696	5.47550763
697	5.47482772
698	5.474488987
699	5.474090467
700	5.473034435
701	5.47206153
702	5.471682856
703	5.470994186
704	5.470377274
705	5.468854993
706	5.46832128
707	5.467740188
708	5.467383721
709	5.466817436
710	5.466489734
711	5.466091759
712	5.465551204
713	5.464659546
714	5.462686444
715	5.461947163
716	5.461437283
717	5.460780547
718	5.460550302
719	5.4603639
720	5.459923074
721	5.458687854
