iter	Passed	Remaining
0	13	13569
1	24	12084
2	33	11161
3	43	10804
4	52	10527
5	62	10324
6	118	16804
7	139	17309
8	169	18661
9	189	18750
10	227	20432
11	242	19939
12	255	19399
13	270	19042
14	286	18813
15	303	18665
16	319	18456
17	332	18160
18	346	17900
19	359	17609
20	372	17371
21	385	17133
22	399	16980
23	413	16816
24	428	16722
25	451	16898
26	471	16977
27	490	17014
28	508	17015
29	529	17133
30	549	17161
31	570	17254
32	593	17387
33	613	17425
34	634	17488
35	651	17442
36	666	17358
37	681	17242
38	699	17247
39	716	17189
40	737	17257
41	760	17338
42	780	17359
43	796	17304
44	816	17337
45	832	17260
46	852	17294
47	870	17260
48	887	17221
49	903	17158
50	918	17087
51	934	17036
52	951	17002
53	967	16941
54	984	16918
55	1000	16866
56	1015	16799
57	1031	16746
58	1044	16660
59	1058	16580
60	1072	16513
61	1085	16425
62	1097	16319
63	1108	16211
64	1119	16100
65	1133	16036
66	1142	15907
67	1152	15792
68	1163	15701
69	1175	15612
70	1187	15544
71	1199	15463
72	1212	15394
73	1224	15327
74	1237	15265
75	1249	15194
76	1261	15125
77	1273	15051
78	1284	14976
79	1296	14908
80	1309	14854
81	1318	14764
82	1332	14722
83	1342	14638
84	1352	14564
85	1361	14473
86	1371	14392
87	1384	14348
88	1398	14315
89	1411	14275
90	1420	14194
91	1431	14129
92	1442	14064
93	1452	13997
94	1467	13975
95	1478	13923
96	1489	13862
97	1503	13842
98	1521	13847
99	1534	13810
100	1544	13746
101	1554	13686
102	1564	13627
103	1573	13557
104	1582	13490
105	1592	13429
106	1603	13380
107	1613	13328
108	1624	13275
109	1634	13221
110	1644	13166
111	1654	13116
112	1664	13062
113	1675	13018
114	1684	12963
115	1694	12913
116	1704	12865
117	1714	12814
118	1723	12759
119	1733	12712
120	1745	12678
121	1755	12633
122	1765	12586
123	1777	12557
124	1787	12512
125	1797	12470
126	1821	12522
127	1880	12807
128	1901	12841
129	1925	12888
130	1943	12889
131	1964	12918
132	1986	12950
133	2001	12937
134	2014	12907
135	2030	12901
136	2045	12883
137	2059	12865
138	2072	12836
139	2085	12811
140	2099	12788
141	2112	12766
142	2125	12737
143	2139	12717
144	2151	12688
145	2171	12701
146	2189	12704
147	2211	12729
148	2233	12755
149	2250	12754
150	2269	12762
151	2287	12762
152	2303	12749
153	2318	12738
154	2334	12726
155	2346	12695
156	2360	12675
157	2373	12647
158	2386	12623
159	2399	12597
160	2412	12573
161	2425	12548
162	2437	12517
163	2450	12491
164	2468	12492
165	2483	12477
166	2500	12472
167	2514	12451
168	2527	12426
169	2538	12392
170	2551	12371
171	2563	12340
172	2575	12309
173	2587	12281
174	2598	12247
175	2609	12217
176	2620	12182
177	2631	12151
178	2644	12128
179	2655	12096
180	2671	12088
181	2684	12065
182	2698	12045
183	2712	12028
184	2726	12009
185	2738	11986
186	2751	11964
187	2765	11942
188	2778	11920
189	2791	11901
190	2807	11890
191	2820	11868
192	2831	11839
193	2845	11821
194	2857	11796
195	2873	11787
196	2886	11764
197	2900	11750
198	2915	11733
199	2930	11722
200	2944	11706
201	2957	11683
202	2969	11659
203	2980	11631
204	2991	11602
205	3002	11572
206	3014	11549
207	3024	11517
208	3035	11490
209	3049	11471
210	3058	11438
211	3068	11405
212	3078	11374
213	3090	11352
214	3100	11322
215	3113	11300
216	3123	11269
217	3135	11245
218	3145	11216
219	3157	11193
220	3168	11169
221	3180	11146
222	3191	11119
223	3203	11098
224	3216	11079
225	3226	11051
226	3236	11022
227	3246	10993
228	3256	10963
229	3314	11095
230	3352	11160
231	3366	11145
232	3377	11119
233	3388	11093
234	3402	11077
235	3415	11056
236	3426	11030
237	3436	11002
238	3447	10978
239	3459	10956
240	3471	10931
241	3484	10913
242	3496	10891
243	3506	10864
244	3516	10836
245	3527	10811
246	3537	10784
247	3546	10754
248	3557	10730
249	3567	10703
250	3578	10677
251	3588	10651
252	3599	10627
253	3610	10604
254	3622	10582
255	3633	10561
256	3644	10536
257	3654	10510
258	3665	10486
259	3676	10464
260	3686	10438
261	3698	10417
262	3708	10391
263	3717	10365
264	3728	10342
265	3738	10317
266	3749	10294
267	3761	10273
268	3770	10246
269	3781	10224
270	3792	10202
271	3803	10180
272	3813	10154
273	3823	10130
274	3833	10106
275	3843	10083
276	3855	10061
277	3864	10037
278	3875	10015
279	3886	9992
280	3896	9969
281	3908	9952
282	3919	9931
283	3930	9908
284	3940	9885
285	3951	9865
286	3963	9846
287	3973	9823
288	3984	9802
289	3994	9780
290	4005	9758
291	4014	9734
292	4024	9710
293	4034	9687
294	4045	9668
295	4056	9647
296	4065	9623
297	4075	9601
298	4087	9583
299	4097	9560
300	4108	9541
301	4119	9522
302	4138	9520
303	4148	9497
304	4157	9474
305	4167	9450
306	4176	9427
307	4189	9413
308	4199	9391
309	4210	9372
310	4221	9353
311	4234	9336
312	4246	9321
313	4260	9307
314	4272	9291
315	4286	9278
316	4299	9263
317	4311	9246
318	4324	9231
319	4336	9214
320	4349	9199
321	4360	9182
322	4372	9164
323	4385	9149
324	4398	9135
325	4410	9119
326	4422	9101
327	4434	9085
328	4446	9069
329	4459	9053
330	4470	9035
331	4483	9020
332	4494	9002
333	4506	8986
334	4523	8979
335	4537	8966
336	4549	8951
337	4563	8938
338	4577	8925
339	4592	8914
340	4604	8898
341	4617	8883
342	4630	8870
343	4643	8855
344	4655	8837
345	4666	8820
346	4680	8807
347	4694	8796
348	4706	8779
349	4717	8760
350	4728	8743
351	4739	8725
352	4750	8706
353	4760	8686
354	4770	8668
355	4780	8648
356	4791	8630
357	4802	8612
358	4813	8594
359	4824	8576
360	4833	8555
361	4843	8536
362	4855	8519
363	4865	8502
364	4876	8483
365	4885	8463
366	4895	8443
367	4907	8428
368	4921	8415
369	4934	8402
370	4946	8385
371	4956	8367
372	4969	8353
373	4982	8339
